@relation dataSet2

@attribute isAnimate {TRUE,FALSE}
@attribute isHuman {TRUE,FALSE}
@attribute Gender {female,NA}
@attribute Age numeric
@attribute Height numeric
@attribute Weight numeric
@attribute isWild {FALSE}
@attribute isVehicle {FALSE,TRUE}
@attribute Categories {child,teen,adult,senior,sedan,heavyVehicle,small,large}
@attribute CategoryName {child1,child2,child3,child4,child5,child6,child7,child8,teen1,teen2,teen3,teen4,teen5,adult1,adult2,adult3,adult4,adult5,adult6,adult7,adult8,adult9,senior1,senior2,senior3,senior4,senior5,senior6,sedan1,sedan2,sedan3,sedan4,sedan5,sedan6,sedan7,sedan8,sedan9,sedan10,sedan11,heavyVehicle1,heavyVehicle2,heavyVehicle3,heavyVehicle4,heavyVehicle5,heavyVehicle6,heavyVehicle7,heavyVehicle8,heavyVehicle9,heavyVehicle10,heavyVehicle11,small1,small2,small3,small4,small5,small6,small7,small8,large1,large2,large3,large4,large5,large6,large7}

@data
TRUE,TRUE,female,85,159.5,65.9,FALSE,FALSE,senior,senior6
FALSE,FALSE,NA,0,145.796,1950.4,FALSE,TRUE,sedan,sedan1
FALSE,FALSE,NA,0,145.76,1949.9,FALSE,TRUE,sedan,sedan2
FALSE,FALSE,NA,0,146.3,2425.3,FALSE,TRUE,sedan,sedan3
FALSE,FALSE,NA,0,141.98,2022.1,FALSE,TRUE,sedan,sedan4
FALSE,FALSE,NA,0,148.84,1953.6,FALSE,TRUE,sedan,sedan5
FALSE,FALSE,NA,0,146.6,1189.7,FALSE,TRUE,sedan,sedan6
FALSE,FALSE,NA,0,147,1300.9,FALSE,TRUE,sedan,sedan7
FALSE,FALSE,NA,0,147.82,2245.28,FALSE,TRUE,sedan,sedan8
FALSE,FALSE,NA,0,149.6,2313.32,FALSE,TRUE,sedan,sedan9
FALSE,FALSE,NA,0,149.8,2336,FALSE,TRUE,sedan,sedan10
FALSE,FALSE,NA,0,144.7,2422.183,FALSE,TRUE,sedan,sedan11
FALSE,FALSE,NA,0,415,6350,FALSE,TRUE,heavyVehicle,heavyVehicle1
FALSE,FALSE,NA,0,360,8845.6,FALSE,TRUE,heavyVehicle,heavyVehicle2
FALSE,FALSE,NA,0,400,14968,FALSE,TRUE,heavyVehicle,heavyVehicle3
FALSE,FALSE,NA,0,390,10000,FALSE,TRUE,heavyVehicle,heavyVehicle4
FALSE,FALSE,NA,0,415,12300,FALSE,TRUE,heavyVehicle,heavyVehicle5
FALSE,FALSE,NA,0,406,9878,FALSE,TRUE,heavyVehicle,heavyVehicle6
FALSE,FALSE,NA,0,415,11000,FALSE,TRUE,heavyVehicle,heavyVehicle7
FALSE,FALSE,NA,0,412,10230,FALSE,TRUE,heavyVehicle,heavyVehicle8
FALSE,FALSE,NA,0,415,9800,FALSE,TRUE,heavyVehicle,heavyVehicle9
FALSE,FALSE,NA,0,402,8900,FALSE,TRUE,heavyVehicle,heavyVehicle10
FALSE,FALSE,NA,0,388,7900,FALSE,TRUE,heavyVehicle,heavyVehicle11
TRUE,FALSE,NA,0,15.24,2.72,FALSE,FALSE,small,small1
TRUE,FALSE,NA,0,16.8,3.44,FALSE,FALSE,small,small2
TRUE,FALSE,NA,0,15.68,2.2,FALSE,FALSE,small,small3
TRUE,FALSE,NA,0,14.2,1.36,FALSE,FALSE,small,small4
TRUE,FALSE,NA,0,13.2,1.81,FALSE,FALSE,small,small5
TRUE,FALSE,NA,0,24.4,2.84,FALSE,FALSE,small,small6
TRUE,FALSE,NA,0,30.4,3.8,FALSE,FALSE,small,small7
TRUE,FALSE,NA,0,34.4,5.5,FALSE,FALSE,small,small8
TRUE,FALSE,NA,0,66.4,36.42,FALSE,FALSE,large,large1
TRUE,FALSE,NA,0,50.8,20,FALSE,FALSE,large,large2
TRUE,FALSE,NA,0,54.2,24,FALSE,FALSE,large,large3
TRUE,FALSE,NA,0,58.6,26.8,FALSE,FALSE,large,large4
TRUE,FALSE,NA,0,60.9,31.5,FALSE,FALSE,large,large5
TRUE,FALSE,NA,0,64.2,36.2,FALSE,FALSE,large,large6
TRUE,FALSE,NA,0,65.5,40,FALSE,FALSE,large,large7
